rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
579,Eastern Kentucky University,Richmond,KY,3.0,-0.07,33100.0,33351.0,1,-1.08,0.73,0.98,0.61,0,0,11577.0,0.06,0.25,44143.0,970.0,21.0,10182.0,7765.0,0.66,0.37
580,Lander University,Greenwood,SC,3.0,-0.07,33900.0,34158.0,1,-1.04,0.58,0.96,0.64,0,0,2424.0,0.3,0.14,51919.0,950.0,20.0,10368.0,9180.0,0.46,0.37
581,Ramapo College of New Jersey,Mahwah,NJ,3.0,-0.07,48700.0,49066.0,1,0.04,0.44,0.81,0.62,1,1,4423.0,0.2,0.14,86357.0,1117.0,,19286.0,9799.0,0.5,0.72
582,University at Buffalo,Buffalo,NY,3.0,-0.07,49700.0,50064.0,1,0.54,0.54,0.89,0.49,1,1,16714.0,0.16,0.13,62252.0,1158.0,26.0,14256.0,10324.0,0.51,0.71
583,University of Missouri-St Louis,Saint Louis,MO,3.0,-0.07,40400.0,40719.0,1,-0.08,0.56,0.96,0.64,0,1,9164.0,0.21,0.33,63854.0,1090.0,24.0,17272.0,14978.0,0.69,0.5
584,Concord University,Athens,WV,3.0,-0.07,32900.0,33161.0,1,-0.7,0.7,0.98,0.54,0,0,664.0,0.07,0.13,41816.0,1005.0,22.0,9198.0,7411.0,0.52,0.34
585,University of Mary Washington,Fredericksburg,VA,3.0,-0.07,47400.0,47775.0,1,1.2,0.32,0.91,0.69,0,1,3902.0,0.17,0.13,81204.0,1137.0,25.0,14846.0,9313.0,0.76,0.71
586,University of California-Los Angeles,Los Angeles,CA,3.0,-0.08,59200.0,59729.0,1,1.82,0.64,0.68,0.59,1,1,25326.0,0.36,0.15,72798.0,1289.0,28.0,14360.0,8958.0,0.26,0.9
587,Brandeis University,Waltham,MA,3.0,-0.08,58800.0,59292.0,0,2.27,0.3,0.82,0.58,1,1,3035.0,0.16,0.02,84113.0,1340.0,30.0,28761.0,17127.0,0.4,0.91
588,Eastern Washington University,Cheney,WA,3.0,-0.09,40500.0,40911.0,1,-0.46,0.63,0.92,0.57,1,1,1203.0,0.08,0.3,54844.0,966.0,21.0,11612.0,7650.0,0.82,0.46
589,Fontbonne University,Saint Louis,MO,3.0,-0.09,40200.0,40587.0,0,-0.25,0.49,0.96,0.77,0,1,1442.0,0.27,0.58,60497.0,1030.0,22.0,18888.0,17445.0,0.63,0.43
590,The University of Tennessee-Chattanooga,Chattanooga,TN,3.0,-0.09,36500.0,36854.0,1,-0.58,0.62,0.96,0.62,0,1,6909.0,0.21,0.21,53870.0,1069.0,23.0,10734.0,7330.0,0.74,0.39
591,Slippery Rock University of Pennsylvania,Slippery Rock,PA,3.0,-0.09,39000.0,39384.0,1,-0.92,0.49,0.97,0.58,1,0,6440.0,0.06,0.1,53843.0,1014.0,22.0,15983.0,11092.0,0.67,0.59
592,Brown University,Providence,RI,3.0,-0.09,59700.0,60248.0,0,2.66,0.34,0.84,0.55,1,1,5766.0,0.21,0.04,78071.0,1387.0,31.0,22826.0,5885.0,0.09,0.95
593,Lourdes University,Sylvania,OH,3.0,-0.1,36000.0,36394.0,0,-0.9,0.6,0.96,0.82,0,1,1235.0,0.16,0.67,59975.0,,,16272.0,14469.0,,0.31
594,Arkansas Tech University,Russellville,AR,3.0,-0.1,35000.0,35376.0,1,-0.08,0.75,0.96,0.54,0,0,5042.0,0.09,0.22,43736.0,1029.0,22.0,8287.0,7521.0,0.9,0.43
595,Central Michigan University,Mount Pleasant,MI,3.0,-0.11,40000.0,40458.0,1,-0.08,0.53,0.96,0.61,0,0,19274.0,0.1,0.11,63064.0,1050.0,23.0,14525.0,11235.0,0.68,0.54
596,Charleston Southern University,Charleston,SC,3.0,-0.11,36100.0,36528.0,0,-0.8,0.6,0.95,0.6,0,1,2263.0,0.31,0.2,55866.0,998.0,22.0,15719.0,14079.0,0.65,0.38
597,Virginia Commonwealth University,Richmond,VA,3.0,-0.11,41800.0,42280.0,1,-0.26,0.53,0.91,0.63,0,1,14853.0,0.28,0.2,70750.0,1078.0,23.0,17181.0,11709.0,0.71,0.53
598,Minnesota State University Moorhead,Moorhead,MN,3.0,-0.11,37000.0,37441.0,1,-0.58,0.54,0.97,0.62,0,1,6643.0,0.03,0.12,52625.0,1031.0,22.0,13005.0,9102.0,0.63,0.45
599,Saint Edward's University,Austin,TX,3.0,-0.12,44700.0,45292.0,0,0.01,0.54,0.85,0.59,0,1,3357.0,0.37,0.37,69330.0,1122.0,25.0,19055.0,14128.0,0.64,0.68
600,Savannah State University,Savannah,GA,3.0,-0.12,30800.0,31203.0,1,-1.67,0.82,0.94,0.59,0,1,2131.0,0.52,0.23,50127.0,,,9011.0,8046.0,,0.3
601,Limestone College,Gaffney,SC,3.0,-0.12,36100.0,36549.0,0,-1.09,0.67,0.96,0.69,0,1,2067.0,0.33,0.64,52023.0,891.0,18.0,21116.0,20663.0,0.51,0.41
602,Georgia State University,Atlanta,GA,3.0,-0.12,41500.0,42012.0,1,-0.26,0.62,0.88,0.66,0,1,17385.0,0.41,0.3,70846.0,1093.0,24.0,11597.0,9715.0,0.52,0.47
603,Valparaiso University,Valparaiso,IN,3.0,-0.12,48100.0,48694.0,0,1.1,0.31,0.94,0.56,0,1,2850.0,0.11,0.06,72454.0,1150.0,26.0,20401.0,15632.0,0.74,0.71
604,Auburn University,Auburn,AL,3.0,-0.12,45400.0,45995.0,1,0.28,0.46,0.95,0.5,0,1,18790.0,0.23,0.07,57081.0,1204.0,27.0,14954.0,10931.0,0.7,0.66
605,University of Tulsa,Tulsa,OK,3.0,-0.12,43200.0,43774.0,0,1.2,0.52,0.94,0.57,0,1,2688.0,0.15,0.15,58446.0,1247.0,28.0,21619.0,17629.0,0.41,0.68
606,Freed-Hardeman University,Henderson,TN,3.0,-0.13,37000.0,37531.0,0,0.2,0.57,0.97,0.56,0,0,1393.0,0.13,0.07,52991.0,1055.0,23.0,15099.0,14707.0,0.99,0.51
607,Rocky Mountain College,Billings,MT,3.0,-0.13,38200.0,38728.0,0,-0.35,0.63,0.97,0.52,0,1,627.0,0.05,0.33,49385.0,1059.0,23.0,17465.0,15439.0,0.55,0.5
608,University of Minnesota-Morris,Morris,MN,3.0,-0.14,38800.0,39388.0,1,0.54,0.5,0.96,0.59,0,0,1813.0,0.08,0.06,60902.0,1165.0,26.0,13166.0,7467.0,0.62,0.6
609,University of Puget Sound,Tacoma,WA,3.0,-0.14,51500.0,52286.0,0,1.44,0.32,0.89,0.64,1,1,2526.0,0.11,0.09,71603.0,1246.0,28.0,28998.0,20572.0,0.52,0.73
610,Illinois College,Jacksonville,IL,3.0,-0.14,37700.0,38255.0,0,0.08,0.52,0.96,0.54,0,0,860.0,0.1,0.02,56871.0,,,14904.0,12139.0,0.65,0.57
611,Indiana University of Pennsylvania-Main Campus,Indiana,PA,3.0,-0.15,38000.0,38628.0,1,-0.58,0.56,0.97,0.55,1,0,3834.0,0.08,0.08,52249.0,980.0,,17114.0,12757.0,0.6,0.52
612,Texas Tech University,Lubbock,TX,3.0,-0.15,46100.0,46822.0,1,0.35,0.53,0.91,0.48,0,1,21269.0,0.29,0.09,60125.0,1113.0,25.0,11290.0,6879.0,0.66,0.61
613,Alfred University,Alfred,NY,3.0,-0.15,42300.0,42987.0,0,0.16,0.52,0.92,0.52,1,0,1320.0,0.11,0.07,60494.0,1083.0,24.0,21931.0,15513.0,0.72,0.6
614,University of Florida,Gainesville,FL,3.0,-0.15,51300.0,52132.0,1,1.32,0.59,0.83,0.54,0,1,32598.0,0.27,0.1,58605.0,1249.0,27.0,8358.0,3892.0,0.43,0.84
615,Saint Mary's University of Minnesota,Winona,MN,3.0,-0.16,41600.0,42333.0,0,-0.25,0.38,0.94,0.56,0,0,1553.0,0.07,0.16,69705.0,1046.0,23.0,18660.0,14139.0,0.72,0.62
